key,country,value,ai_confidence
Flag,Nicaragua,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Nicaragua.svg,95
Official language,Nicaragua,Spanish,95
Anthem,Costa Rica,https://upload.wikimedia.org/wikipedia/commons/4/4e/Himno_Nacional_de_Costa_Rica.ogg,90
Official language,Costa Rica,Spanish,100
Flag,Uzbekistan,https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Uzbekistan.svg,95
Official language,Uzbekistan,Uzbek,95
Flag,Guyana,https://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_Guyana.svg,95
Official language,Guyana,English,95
Flag,Qatar,https://upload.wikimedia.org/wikipedia/commons/6/65/Flag_of_Qatar.svg,95
Official language,Qatar,Arabic,95
Official language,El Salvador,Spanish,100
Official language,Cambodia,Khmer,100
Flag,Laos,https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Laos.svg,95
Official language,Laos,Lao,95
Official language,Peru,Spanish or Quechua or Aymara,95
Flag,Chad,https://upload.wikimedia.org/wikipedia/commons/4/4b/Flag_of_Chad.svg,95
Official language,Chad,French or Arabic,100
Official language,The Bahamas,English,100
Flag,Tajikistan,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Tajikistan.svg/1920px-Flag_of_Tajikistan.svg.png,95
Official language,Tajikistan,Tajik,100
Official language,Turkmenistan,Turkmen,100
Official language,Honduras,Spanish,100
Flag,Thailand,https://upload.wikimedia.org/wikipedia/commons/a/a9/Flag_of_Thailand.svg,95
Official language,Thailand,Thai,100
Flag,Guatemala,https://upload.wikimedia.org/wikipedia/commons/e/ec/Flag_of_Guatemala.svg,95
Official language,Guatemala,Spanish,100
Official language,Oman,Arabic,100
Official language,Argentina,Spanish,100
Flag,Suriname,https://upload.wikimedia.org/wikipedia/commons/6/60/Flag_of_Suriname.svg,95
Official language,Suriname,Dutch,100
Official language,Liechtenstein,German,95
Flag,Marshall Islands,https://upload.wikimedia.org/wikipedia/commons/2/2e/Flag_of_the_Marshall_Islands.svg,95
Official language,Marshall Islands,Marshallese or English,95
Flag,Armenia,https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_Armenia.svg,95
Official language,Armenia,Armenian,100
Anthem,Iraq,https://upload.wikimedia.org/wikipedia/commons/2/2b/Iraqi_national_anthem_2004.ogg,90
Official language,Iraq,Arabic or Kurdish,95
Flag,Samoa,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Samoa.svg,90
Anthem,Samoa,https://upload.wikimedia.org/wikipedia/commons/4/4d/National_anthem_of_Samoa.ogg,90
Official language,Samoa,Samoan or English,100
Flag,Algeria,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg,95
Official language,Algeria,Arabic or Tamazight,100
Flag,Dominican Republic,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_the_Dominican_Republic.svg,95
Official language,Dominican Republic,Spanish,100
Flag,Palau,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Palau.svg,90
Anthem,Palau,https://upload.wikimedia.org/wikipedia/commons/4/4d/Belau_lilechet.ogg,90
Official language,Palau,Palauan or English,100
Flag,Saint Vincent and the Grenadines,https://upload.wikimedia.org/wikipedia/commons/6/6d/Flag_of_Saint_Vincent_and_the_Grenadines.svg,95
Official language,Saint Vincent and the Grenadines,English,95
Flag,Trinidad and Tobago,https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Trinidad_and_Tobago.svg,95
Anthem,Trinidad and Tobago,https://nationalanthems.info/tt.ogg,90
Official language,Trinidad and Tobago,English,95
Official language,Kyrgyzstan,Kyrgyz or Russian,100
Official language,Venezuela,Spanish,100
Official language,Syria,Arabic,95
Flag,Solomon Islands,https://upload.wikimedia.org/wikipedia/commons/7/74/Flag_of_the_Solomon_Islands.svg,95
Anthem,Solomon Islands,https://upload.wikimedia.org/wikipedia/commons/4/4b/God_Save_Our_Solomon_Islands.ogg,90
Official language,Solomon Islands,English,95
Flag,United Arab Emirates,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_United_Arab_Emirates.svg,90
Anthem,United Arab Emirates,https://upload.wikimedia.org/wikipedia/commons/2/2b/United_Arab_Emirates_national_anthem%2C_performed_by_the_U.S._Navy_Band.ogg,90
Official language,United Arab Emirates,Arabic,100
Flag,India,https://upload.wikimedia.org/wikipedia/en/4/41/Flag_of_India.svg,95
Official language,India,Hindi or English,95
Official language,Malaysia,Malay,100
Flag,Slovenia,https://upload.wikimedia.org/wikipedia/commons/f/f0/Flag_of_Slovenia.svg,95
Flag,Eswatini,https://upload.wikimedia.org/wikipedia/commons/f/fb/Flag_of_Eswatini.svg,95
Official language,Eswatini,Swazi or English,100
Flag,Montenegro,https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Montenegro.svg,95
Currency,realm of the United Kingdom,pound sterling,100
Population,realm of the United Kingdom,67886011,85
Anthem,realm of the United Kingdom,https://upload.wikimedia.org/wikipedia/commons/1/1b/God_Save_the_King.ogg,90
Continent,realm of the United Kingdom,Europe,100
Highest point,realm of the United Kingdom,Ben Nevis,100
Anthem,United Kingdom,https://upload.wikimedia.org/wikipedia/commons/1/1e/God_Save_the_King.ogg,90
Flag,Cuba,https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg,95
Official language,Cuba,Spanish,100
Flag,Israel,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg,95
Official language,Cyprus,Greek or Turkish,100
Flag,Indonesia,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Indonesia.svg,95
Anthem,Indonesia,https://upload.wikimedia.org/wikipedia/commons/5/5e/Indonesia_Raya_instrumental.ogg,90
Official language,Indonesia,Indonesian,100
Official language,Vatican City,Latin,100
Flag,Kazakhstan,https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kazakhstan.svg,95
Official language,Kazakhstan,Kazakh or Russian,95
Flag,Monaco,https://upload.wikimedia.org/wikipedia/commons/e/ea/Flag_of_Monaco.svg,95
Official language,Monaco,French,100
Flag,Moldova,https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Moldova.svg,95
Anthem,Moldova,https://upload.wikimedia.org/wikipedia/commons/0/0c/Imnul_Republicii_Moldova.ogg,90
Official language,San Marino,Italian,100
Flag,Andorra,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Andorra.svg,90
Official language,Andorra,Catalan,100
Anthem,Barbados,https://www.gov.bb/anthems/Barbados_National_Anthem.ogg,90
Official language,Barbados,English,95
Flag,Kingdom of the Netherlands,https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,95
Official language,Kingdom of the Netherlands,Dutch or Frisian or Papiamento or English,100
Official language,Georgia,Georgian,100
Anthem,Bosnia and Herzegovina,https://upload.wikimedia.org/wikipedia/commons/4/4f/Drzavna_himna_BiH.ogg,90
Official language,Bosnia and Herzegovina,Bosnian or Croatian or Serbian,100
Flag,Belize,https://upload.wikimedia.org/wikipedia/commons/e/e7/Flag_of_Belize.svg,95
Official language,Belize,English,95
Flag,Malta,https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Malta.svg,95
Official language,Malta,Maltese or English,100
Flag,Sweden,https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg,95
Flag,Lebanon,https://upload.wikimedia.org/wikipedia/commons/5/59/Flag_of_Lebanon.svg,95
Official language,Tunisia,Arabic,100
Anthem,Mauritania,https://upload.wikimedia.org/wikipedia/commons/4/4d/National_anthem_of_Mauritania%2C_performed_by_the_U.S._Navy_Band.ogg,90
Official language,Mauritania,Arabic,95
Flag,Liberia,https://upload.wikimedia.org/wikipedia/commons/b/b8/Flag_of_Liberia.svg,95
Official language,Liberia,English,95
Flag,Vietnam,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Vietnam.svg,95
Official language,Vietnam,Vietnamese,100
Flag,Republic of Ireland,https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,95
Official language,Republic of Ireland,Irish or English,100
Official language,Zambia,English,100
Flag,Niger,https://upload.wikimedia.org/wikipedia/commons/f/f4/Flag_of_Niger.svg,95
Anthem,Niger,https://upload.wikimedia.org/wikipedia/commons/4/4d/National_anthem_of_Niger.ogg,90
Official language,Niger,French,100
Flag,Turkey,https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Turkey.svg,95
Official language,Turkey,Turkish,100
Flag,Madagascar,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Madagascar.svg,95
Official language,Madagascar,Malagasy or French,95
Official language,Democratic Republic of the Congo,French,100
Flag,Republic of the Congo,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_the_Republic_of_the_Congo.svg,90
Official language,Republic of the Congo,French,100
Anthem,Ukraine,https://upload.wikimedia.org/wikipedia/commons/4/42/State_Anthem_of_Ukraine.ogg,90
Official language,Ukraine,Ukrainian,100
Official language,Mexico,Spanish,100
Official language,Belarus,Belarusian or Russian,95
Flag,People's Republic of China,https://upload.wikimedia.org/wikipedia/commons/0/0d/Flag_of_China.svg,95
Official language,People's Republic of China,Mandarin Chinese,100
Official language,Japan,Japanese,100
Official language,Azerbaijan,Azerbaijani,100
Official language,Sudan,Arabic or English,95
Flag,Central African Republic,https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Central_African_Republic.svg,95
Anthem,Central African Republic,https://upload.wikimedia.org/wikipedia/commons/4/4e/La_Renaissance_%28instrumental%29.ogg,90
Official language,Central African Republic,French or Sango,95
Official language,Nigeria,English,100
Official language,Bulgaria,Bulgarian,100
Official language,France,French,100
Flag,Namibia,https://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_Namibia.svg,95
Anthem,Namibia,https://upload.wikimedia.org/wikipedia/commons/4/4f/Namibian_anthem.ogg,90
Official language,Namibia,English,95
Flag,Bhutan,https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg,95
Anthem,Bhutan,https://upload.wikimedia.org/wikipedia/commons/4/4e/National_Anthem_of_Bhutan.ogg,90
Official language,Bhutan,Dzongkha,95
Flag,São Tomé and Príncipe,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe.svg,90
Anthem,São Tomé and Príncipe,https://upload.wikimedia.org/wikipedia/commons/4/4d/National_anthem_of_Sao_Tome_and_Principe.ogg,90
Official language,São Tomé and Príncipe,Portuguese,100
Official language,Brunei Darussalam,Malay,100
Flag,Eritrea,https://upload.wikimedia.org/wikipedia/commons/2/29/Flag_of_Eritrea.svg,90
Official language,Eritrea,Tigrinya or Arabic or English,90
Official language,Philippines,Filipino or English,100
Flag,Mozambique,https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Mozambique.svg,95
Official language,Mozambique,Portuguese,95
Flag,Kenya,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,95
Official language,Kenya,Swahili or English,100
Official language,Hungary,Hungarian,100
Official language,Austria,German,100
Official language,Romania,Romanian,100
Official language,Portugal,Portuguese,100
Anthem,Afghanistan,https://upload.wikimedia.org/wikipedia/commons/1/1d/National_anthem_of_Afghanistan%2C_performed_by_the_U.S._Navy_Band.ogg,90
Official language,Afghanistan,Pashto or Dari,95
Official language,Belgium,Dutch or French or German,100
Official language,Cape Verde,Portuguese,95
Official language,Ethiopia,Amharic,95
Anthem,Togo,https://upload.wikimedia.org/wikipedia/commons/4/4d/Togolese_national_anthem.ogg,90
Official language,Togo,French,95
Flag,Uruguay,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,95
Official language,Uruguay,Spanish,100
Flag,Latvia,https://upload.wikimedia.org/wikipedia/en/8/84/Flag_of_Latvia.svg,95
Official language,Latvia,Latvian,100
Official language,Lithuania,Lithuanian,100
Official language,Malawi,English or Chichewa,95
Official language,Egypt,Arabic,100
Flag,Guinea,https://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_Guinea.svg,95
Official language,Guinea,French,95
Official language,Rwanda,Kinyarwanda or French or English or Swahili,100
Flag,Sierra Leone,https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Sierra_Leone.svg,95
Anthem,Sierra Leone,https://upload.wikimedia.org/wikipedia/commons/1/19/Sierra_Leone_National_Anthem.ogg,90
Official language,Sierra Leone,English,95
Official language,Canada,English or French,100
Anthem,Lesotho,https://upload.wikimedia.org/wikipedia/commons/4/4e/Lesotho_anthem.ogg,90
Official language,Lesotho,Sesotho or English,100
Flag,Senegal,https://upload.wikimedia.org/wikipedia/commons/f/fd/Flag_of_Senegal.svg,95
Anthem,Senegal,https://upload.wikimedia.org/wikipedia/commons/4/4d/Hymne_national_du_S%C3%A9n%C3%A9gal.ogg,90
Official language,Senegal,French,95
Flag,Burundi,https://upload.wikimedia.org/wikipedia/commons/5/50/Flag_of_Burundi.svg,95
Anthem,Burundi,https://upload.wikimedia.org/wikipedia/commons/3/3e/Burundi_anthem.ogg,90
Official language,Burundi,Kirundi or French or English,95
Flag,Finland,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg,95
Official language,Finland,Finnish or Swedish,100
Official language,Benin,French,100
Flag,Somalia,https://upload.wikimedia.org/wikipedia/commons/a/a0/Flag_of_Somalia.svg,95
Official language,Somalia,Somali or Arabic,100
Flag,Luxembourg,https://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Luxembourg.svg,95
Official language,Luxembourg,Luxembourgish or French or German,95
Official language,Iceland,Icelandic,95
Official language,Gabon,French,95
Flag,Slovakia,https://upload.wikimedia.org/wikipedia/commons/e/e6/Flag_of_Slovakia.svg,95
Official language,Slovakia,Slovak,100
Flag,South Sudan,https://upload.wikimedia.org/wikipedia/commons/7/7a/Flag_of_South_Sudan.svg,95
Official language,South Sudan,English,95
Flag,Ivory Coast,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Cote_d%27Ivoire.svg,90
Anthem,Ivory Coast,https://upload.wikimedia.org/wikipedia/commons/1/1a/Abidjan_orthodoxe.ogg,90
Official language,Ivory Coast,French,100
Flag,Cameroon,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg,95
Anthem,Cameroon,https://upload.wikimedia.org/wikipedia/commons/4/4e/National_anthem_of_Cameroon%2C_performed_by_the_U.S._Navy_Band.ogg,90
Official language,Cameroon,English or French,100
Flag,Mauritius,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Mauritius.svg,95
Official language,Mauritius,English,95
Official language,South Korea,Korean,100
Official language,Ghana,English,100
Flag,Mali,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Mali.svg,95
Official language,Mali,French,95
Flag,Angola,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg,90
Anthem,Angola,https://upload.wikimedia.org/wikipedia/commons/4/4c/Angolan_national_anthem.ogg,90
Official language,Angola,Portuguese,100
Official language,Equatorial Guinea,Spanish or French or Portuguese,100
Flag,Norway,https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg,95
Official language,Norway,Norwegian or Sami,100
Flag,Morocco,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Morocco.svg,95
Official language,Morocco,Arabic or Amazigh,95
Flag,Burkina Faso,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Burkina_Faso.svg,95
Anthem,Burkina Faso,https://upload.wikimedia.org/wikipedia/commons/4/4a/Lidwina_The_anthem_of_Burkina_Faso.ogg,90
Official language,Burkina Faso,French,100
Official language,Italy,Italian,100
Official language,Greece,Greek,100
Official language,Comoros,Comorian or Arabic or French,95
Flag,Botswana,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Botswana.svg,95
Official language,Botswana,English or Setswana,95
Flag,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg,95
Official language,Czech Republic,Czech,100
Flag,Estonia,https://upload.wikimedia.org/wikipedia/commons/8/8f/Flag_of_Estonia.svg,95
Official language,Estonia,Estonian,100
Official language,Switzerland,German or French or Italian or Romansh,100
Anthem,North Macedonia,https://upload.wikimedia.org/wikipedia/commons/4/4d/National_Anthem_of_North_Macedonia.ogg,90
Official language,North Macedonia,Macedonian or Albanian,95
Official language,Seychelles,English or French or Seychellois Creole,100
Official language,Germany,German,100
Official language,Uganda,English or Swahili,95
Anthem,Zimbabwe,https://upload.wikimedia.org/wikipedia/commons/4/42/National_Anthem_of_Zimbabwe.ogg,90
Official language,Zimbabwe,Chewa or Chibarwe or English or Kalanga or Koisan or Nambya or Ndau or Ndebele or Shangani or Shona or Sotho or Tonga or Tswana or Venda or Xhosa or Zimbabwean Sign Language,95
Official language,Croatia,Croatian,100
Official language,Bangladesh,Bengali,100
Flag,The Gambia,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_The_Gambia.svg,95
Anthem,The Gambia,https://upload.wikimedia.org/wikipedia/commons/0/02/The_Gambia_National_Anthem.ogg,90
Official language,The Gambia,English,95
Highest point,The Gambia,Red Rock Plateau,90
Flag,Tanzania,https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Tanzania.svg,90
Official language,Tanzania,Swahili or English,95
Flag,Djibouti,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_Djibouti.svg,90
Official language,Djibouti,French or Arabic,100
Official language,Albania,Albanian,100
Flag,Guinea-Bissau,https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Guinea-Bissau.svg,95
Anthem,Guinea-Bissau,https://upload.wikimedia.org/wikipedia/commons/4/42/Guinea-Bissau_national_anthem.ogg,90
Official language,Guinea-Bissau,Portuguese,95
