key,country,value,ai_confidence
flag_image,Dominican Republic,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_the_Dominican_Republic.svg,90
official_Language_label,Dominican Republic,Spanish,95
flag_image,Palau,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Palau.svg,90
anthem_audio,Palau,unknown,0
official_Language_label,Palau,Palauan or English,90
flag_image,Saint Vincent and the Grenadines,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Flag_of_Saint_Vincent_and_the_Grenadines.svg/1200px-Flag_of_Saint_Vincent_and_the_Grenadines.svg.png,90
official_Language_label,Saint Vincent and the Grenadines,English,95
flag_image,Trinidad and Tobago,https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Trinidad_and_Tobago.svg,90
anthem_audio,Trinidad and Tobago,unknown,0
official_Language_label,Trinidad and Tobago,English,95
official_Language_label,Kyrgyzstan,Kyrgyz or Russian,90
official_Language_label,Venezuela,Spanish,95
official_Language_label,Syria,Arabic,95
flag_image,Solomon Islands,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_the_Solomon_Islands.svg,90
anthem_audio,Solomon Islands,unknown,0
official_Language_label,Solomon Islands,English,90
flag_image,United Arab Emirates,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_United_Arab_Emirates.svg,90
anthem_audio,United Arab Emirates,unknown,0
official_Language_label,United Arab Emirates,Arabic,95
flag_image,India,https://upload.wikimedia.org/wikipedia/en/4/41/Flag_of_India.svg,90
official_Language_label,India,Hindi or English,90
official_Language_label,Malaysia,Malay,95
flag_image,Slovenia,https://upload.wikimedia.org/wikipedia/commons/f/f0/Flag_of_Slovenia.svg,90
flag_image,Eswatini,https://upload.wikimedia.org/wikipedia/commons/f/fb/Flag_of_Eswatini.svg,90
official_Language_label,Eswatini,Swazi or English,95
flag_image,Montenegro,https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Montenegro.svg,90
currency_label,realm of the United Kingdom,pound sterling,95
population,realm of the United Kingdom,unknown,0
anthem_audio,realm of the United Kingdom,unknown,0
continent_label,realm of the United Kingdom,Europe,90
highest_point_label,realm of the United Kingdom,Ben Nevis,95
anthem_audio,United Kingdom,unknown,0
flag_image,Cuba,https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg,90
official_Language_label,Cuba,Spanish,95
flag_image,Israel,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg,90
official_Language_label,Cyprus,Greek or Turkish,90
flag_image,Indonesia,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Indonesia.svg,90
anthem_audio,Indonesia,unknown,0
official_Language_label,Indonesia,Indonesian,95
official_Language_label,Vatican City,Latin or Italian,90
flag_image,Kazakhstan,https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kazakhstan.svg,90
official_Language_label,Kazakhstan,Kazakh or Russian,90
flag_image,Monaco,unknown,0
official_Language_label,Monaco,French,95
flag_image,Moldova,https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Moldova.svg,90
anthem_audio,Moldova,unknown,0
official_Language_label,San Marino,Italian,95
flag_image,Andorra,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Andorra.svg,90
official_Language_label,Andorra,Catalan,95
anthem_audio,Barbados,unknown,0
official_Language_label,Barbados,English,95
flag_image,Kingdom of the Netherlands,https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,90
official_Language_label,Kingdom of the Netherlands,Dutch,95
official_Language_label,Georgia,Georgian,95
anthem_audio,Bosnia and Herzegovina,unknown,0
official_Language_label,Bosnia and Herzegovina,Bosnian or Croatian or Serbian,90
flag_image,Belize,https://upload.wikimedia.org/wikipedia/commons/e/e7/Flag_of_Belize.svg,90
official_Language_label,Belize,English,95
flag_image,Malta,https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Malta.svg,90
official_Language_label,Malta,Maltese or English,95
flag_image,Sweden,https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg,90
flag_image,Lebanon,https://upload.wikimedia.org/wikipedia/commons/5/59/Flag_of_Lebanon.svg,90
official_Language_label,Tunisia,Arabic,95
anthem_audio,Mauritania,unknown,0
official_Language_label,Mauritania,Arabic,90
flag_image,Liberia,https://upload.wikimedia.org/wikipedia/commons/b/b8/Flag_of_Liberia.svg,90
official_Language_label,Liberia,English,95
flag_image,Vietnam,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Vietnam.svg,90
official_Language_label,Vietnam,Vietnamese,95
flag_image,Republic of Ireland,https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,90
official_Language_label,Republic of Ireland,Irish or English,95
official_Language_label,Zambia,English,95
flag_image,Niger,https://upload.wikimedia.org/wikipedia/commons/f/f4/Flag_of_Niger.svg,90
anthem_audio,Niger,unknown,0
official_Language_label,Niger,French,95
flag_image,Turkey,https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Turkey.svg,90
official_Language_label,Turkey,Turkish,100
flag_image,Madagascar,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Madagascar.svg,90
official_Language_label,Madagascar,Malagasy or French,90
official_Language_label,Democratic Republic of the Congo,French,95
flag_image,Republic of the Congo,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_the_Republic_of_the_Congo.svg,90
official_Language_label,Republic of the Congo,French,95
anthem_audio,Ukraine,unknown,0
official_Language_label,Ukraine,Ukrainian,95
official_Language_label,Mexico,Spanish,95
official_Language_label,Belarus,Belarusian or Russian,90
flag_image,People's Republic of China,https://upload.wikimedia.org/wikipedia/commons/0/0d/Flag_of_China.svg,90
official_Language_label,People's Republic of China,Mandarin,95
official_Language_label,Japan,Japanese,100
official_Language_label,Azerbaijan,Azerbaijani,95
official_Language_label,Sudan,Arabic or English,85
flag_image,Central African Republic,https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Central_African_Republic.svg,90
anthem_audio,Central African Republic,unknown,0
official_Language_label,Central African Republic,French or Sango,95
official_Language_label,Nigeria,English,95
official_Language_label,Bulgaria,Bulgarian,95
official_Language_label,France,French,100
flag_image,Namibia,https://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_Namibia.svg,90
anthem_audio,Namibia,unknown,0
official_Language_label,Namibia,English,95
flag_image,Bhutan,https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg,90
anthem_audio,Bhutan,unknown,0
official_Language_label,Bhutan,Dzongkha,95
flag_image,São Tomé and Príncipe,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg,90
anthem_audio,São Tomé and Príncipe,unknown,0
official_Language_label,São Tomé and Príncipe,Portuguese,95
official_Language_label,Brunei Darussalam,Malay,95
flag_image,Eritrea,https://upload.wikimedia.org/wikipedia/commons/2/29/Flag_of_Eritrea.svg,90
official_Language_label,Eritrea,Tigrinya or Arabic or English,85
official_Language_label,Philippines,Filipino or English,90
flag_image,Mozambique,https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Mozambique.svg,90
official_Language_label,Mozambique,Portuguese,95
flag_image,Kenya,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,90
official_Language_label,Kenya,Swahili or English,95
official_Language_label,Hungary,Hungarian,95
official_Language_label,Austria,German,95
official_Language_label,Romania,Romanian,95
official_Language_label,Portugal,Portuguese,100
anthem_audio,Afghanistan,unknown,0
official_Language_label,Afghanistan,Pashto or Dari,90
official_Language_label,Belgium,Dutch or French or German,95
official_Language_label,Cape Verde,Portuguese,95
official_Language_label,Ethiopia,Amharic,90
anthem_audio,Togo,unknown,0
official_Language_label,Togo,French,95
flag_image,Uruguay,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,90
official_Language_label,Uruguay,Spanish,95
flag_image,Latvia,https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Latvia.svg,90
official_Language_label,Latvia,Latvian,95
official_Language_label,Lithuania,Lithuanian,95
official_Language_label,Malawi,English or Chichewa,90
official_Language_label,Egypt,Arabic,95
flag_image,Guinea,https://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_Guinea.svg,90
official_Language_label,Guinea,French,95
official_Language_label,Rwanda,Kinyarwanda or French or English or Swahili,90
flag_image,Sierra Leone,https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Sierra_Leone.svg,90
anthem_audio,Sierra Leone,unknown,0
official_Language_label,Sierra Leone,English,95
official_Language_label,Canada,English or French,95
anthem_audio,Lesotho,unknown,0
official_Language_label,Lesotho,Sesotho or English,95
flag_image,Senegal,https://upload.wikimedia.org/wikipedia/commons/f/fd/Flag_of_Senegal.svg,90
anthem_audio,Senegal,unknown,0
official_Language_label,Senegal,French,95
flag_image,Burundi,https://upload.wikimedia.org/wikipedia/commons/5/50/Flag_of_Burundi.svg,90
anthem_audio,Burundi,unknown,0
official_Language_label,Burundi,Kirundi or French or English,90
flag_image,Finland,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg,90
official_Language_label,Finland,Finnish or Swedish,95
official_Language_label,Benin,French,95
flag_image,Somalia,https://upload.wikimedia.org/wikipedia/commons/a/a0/Flag_of_Somalia.svg,90
official_Language_label,Somalia,Somali or Arabic,90
flag_image,Luxembourg,https://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Luxembourg.svg,90
official_Language_label,Luxembourg,Luxembourgish or French or German,90
official_Language_label,Iceland,Icelandic,95
official_Language_label,Gabon,French,95
flag_image,Slovakia,https://upload.wikimedia.org/wikipedia/commons/e/e6/Flag_of_Slovakia.svg,90
official_Language_label,Slovakia,Slovak,95
flag_image,South Sudan,https://upload.wikimedia.org/wikipedia/commons/7/7a/Flag_of_South_Sudan.svg,90
official_Language_label,South Sudan,English,95
flag_image,Ivory Coast,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Cote_d%27Ivoire.svg,90
anthem_audio,Ivory Coast,unknown,0
official_Language_label,Ivory Coast,French,95
flag_image,Cameroon,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg,90
anthem_audio,Cameroon,unknown,0
official_Language_label,Cameroon,English or French,90
flag_image,Mauritius,https://upload.wikimedia.org/wikipedia/commons/d/d7/Flag_of_Mauritius.svg,90
official_Language_label,Mauritius,English,90
official_Language_label,South Korea,Korean,100
official_Language_label,Ghana,English,95
flag_image,Mali,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Mali.svg,90
official_Language_label,Mali,French,95
flag_image,Angola,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg,90
anthem_audio,Angola,unknown,0
official_Language_label,Angola,Portuguese,95
official_Language_label,Equatorial Guinea,Spanish or French or Portuguese,90
flag_image,Norway,https://upload.wikimedia.org/wikipedia/en/d/d9/Flag_of_Norway.svg,90
official_Language_label,Norway,Norwegian or Sami,90
flag_image,Morocco,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Morocco.svg,90
official_Language_label,Morocco,Arabic or Amazigh,95
flag_image,Burkina Faso,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Burkina_Faso.svg,90
anthem_audio,Burkina Faso,unknown,0
official_Language_label,Burkina Faso,French,95
official_Language_label,Italy,Italian,100
official_Language_label,Greece,Greek,100
official_Language_label,Comoros,Comorian or Arabic or French,90
flag_image,Botswana,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Botswana.svg,90
official_Language_label,Botswana,English or Setswana,90
flag_image,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg,90
official_Language_label,Czech Republic,Czech,95
flag_image,Estonia,https://upload.wikimedia.org/wikipedia/commons/8/8f/Flag_of_Estonia.svg,90
official_Language_label,Estonia,Estonian,95
official_Language_label,Switzerland,German or French or Italian or Romansh,95
anthem_audio,North Macedonia,unknown,0
official_Language_label,North Macedonia,Macedonian or Albanian,90
official_Language_label,Seychelles,Seychellois Creole or English or French,90
official_Language_label,Germany,German,100
official_Language_label,Uganda,English or Swahili,90
anthem_audio,Zimbabwe,unknown,0
official_Language_label,Zimbabwe,Chewa or Chibarwe or English or Kalanga or Koisan or Nambya or Ndau or Ndebele or Shangani or Shona or Sotho or Tonga or Tswana or Venda or Xhosa or Zimbabwean Sign Language,90
official_Language_label,Croatia,Croatian,95
official_Language_label,Bangladesh,Bengali,95
flag_image,The Gambia,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_The_Gambia.svg,90
anthem_audio,The Gambia,unknown,0
official_Language_label,The Gambia,English,90
highest_point_label,The Gambia,Red Rock,85
flag_image,Tanzania,https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Tanzania.svg,90
official_Language_label,Tanzania,Swahili or English,90
flag_image,Djibouti,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_Djibouti.svg,90
official_Language_label,Djibouti,French or Arabic,90
official_Language_label,Albania,Albanian,95
flag_image,Guinea-Bissau,https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Guinea-Bissau.svg,90
anthem_audio,Guinea-Bissau,unknown,0
official_Language_label,Guinea-Bissau,Portuguese,95
